Category: All categories

Week,copper bank: (United States)
2017-11-05,64
2017-11-12,49
2017-11-19,100
2017-11-26,60
2017-12-03,69
2017-12-10,84
2017-12-17,43
2017-12-24,77
2017-12-31,63
2018-01-07,53
2018-01-14,46
2018-01-21,56
2018-01-28,48
2018-02-04,60
2018-02-11,24
2018-02-18,26
2018-02-25,47
2018-03-04,66
2018-03-11,25
2018-03-18,0
2018-03-25,68
2018-04-01,35
2018-04-08,0
2018-04-15,36
2018-04-22,37
2018-04-29,44
2018-05-06,40
2018-05-13,28
2018-05-20,31
2018-05-27,51
2018-06-03,36
2018-06-10,30
2018-06-17,67
2018-06-24,18
2018-07-01,29
2018-07-08,66
2018-07-15,40
2018-07-22,41
2018-07-29,42
2018-08-05,34
2018-08-12,37
2018-08-19,26
2018-08-26,40
2018-09-02,47
2018-09-09,33
2018-09-16,51
2018-09-23,0
2018-09-30,39
2018-10-07,33
2018-10-14,59
2018-10-21,36
2018-10-28,32
2018-11-04,57
2018-11-11,43
2018-11-18,26
2018-11-25,46
2018-12-02,51
2018-12-09,31
2018-12-16,39
2018-12-23,46
2018-12-30,21
2019-01-06,51
2019-01-13,52
2019-01-20,40
2019-01-27,43
2019-02-03,46
2019-02-10,60
2019-02-17,54
2019-02-24,35
2019-03-03,43
2019-03-10,31
2019-03-17,78
2019-03-24,0
2019-03-31,21
2019-04-07,29
2019-04-14,58
2019-04-21,24
2019-04-28,36
2019-05-05,44
2019-05-12,48
2019-05-19,0
2019-05-26,45
2019-06-02,49
2019-06-09,32
2019-06-16,49
2019-06-23,47
2019-06-30,49
2019-07-07,37
2019-07-14,29
2019-07-21,15
2019-07-28,50
2019-08-04,26
2019-08-11,67
2019-08-18,56
2019-08-25,61
2019-09-01,27
2019-09-08,46
2019-09-15,42
2019-09-22,26
2019-09-29,50
2019-10-06,59
2019-10-13,46
2019-10-20,35
2019-10-27,61
2019-11-03,69
2019-11-10,44
2019-11-17,46
2019-11-24,40
2019-12-01,38
2019-12-08,54
2019-12-15,51
2019-12-22,44
2019-12-29,27
2020-01-05,43
2020-01-12,24
2020-01-19,50
2020-01-26,53
2020-02-02,36
2020-02-09,34
2020-02-16,27
2020-02-23,55
2020-03-01,43
2020-03-08,37
2020-03-15,31
2020-03-22,11
2020-03-29,49
2020-04-05,30
2020-04-12,43
2020-04-19,47
2020-04-26,50
2020-05-03,43
2020-05-10,54
2020-05-17,38
2020-05-24,65
2020-05-31,35
2020-06-07,37
2020-06-14,53
2020-06-21,43
2020-06-28,50
2020-07-05,55
2020-07-12,49
2020-07-19,43
2020-07-26,60
2020-08-02,55
2020-08-09,64
2020-08-16,49
2020-08-23,48
2020-08-30,63
2020-09-06,34
2020-09-13,31
2020-09-20,37
2020-09-27,50
2020-10-04,69
2020-10-11,66
2020-10-18,35
2020-10-25,36
2020-11-01,29
2020-11-08,56
2020-11-15,57
2020-11-22,15
2020-11-29,53
2020-12-06,57
2020-12-13,36
2020-12-20,30
2020-12-27,31
2021-01-03,31
2021-01-10,53
2021-01-17,35
2021-01-24,30
2021-01-31,42
2021-02-07,52
2021-02-14,76
2021-02-21,23
2021-02-28,77
2021-03-07,27
2021-03-14,37
2021-03-21,45
2021-03-28,59
2021-04-04,48
2021-04-11,65
2021-04-18,82
2021-04-25,67
2021-05-02,17
2021-05-09,49
2021-05-16,33
2021-05-23,61
2021-05-30,19
2021-06-06,56
2021-06-13,66
2021-06-20,33
2021-06-27,71
2021-07-04,64
2021-07-11,53
2021-07-18,41
2021-07-25,59
2021-08-01,80
2021-08-08,54
2021-08-15,46
2021-08-22,58
2021-08-29,54
2021-09-05,43
2021-09-12,73
2021-09-19,34
2021-09-26,39
2021-10-03,44
2021-10-10,43
2021-10-17,28
2021-10-24,43
2021-10-31,39
2021-11-07,33
2021-11-14,61
2021-11-21,22
2021-11-28,91
2021-12-05,64
2021-12-12,39
2021-12-19,22
2021-12-26,50
2022-01-02,60
2022-01-09,57
2022-01-16,11
2022-01-23,74
2022-01-30,28
2022-02-06,44
2022-02-13,75
2022-02-20,51
2022-02-27,58
2022-03-06,56
2022-03-13,65
2022-03-20,64
2022-03-27,58
2022-04-03,69
2022-04-10,71
2022-04-17,34
2022-04-24,67
2022-05-01,61
2022-05-08,42
2022-05-15,68
2022-05-22,57
2022-05-29,60
2022-06-05,62
2022-06-12,49
2022-06-19,60
2022-06-26,40
2022-07-03,36
2022-07-10,96
2022-07-17,82
2022-07-24,45
2022-07-31,35
2022-08-07,63
2022-08-14,63
2022-08-21,40
2022-08-28,46
2022-09-04,53
2022-09-11,37
2022-09-18,48
2022-09-25,9
2022-10-02,65
2022-10-09,51
2022-10-16,43
2022-10-23,56
2022-10-30,52
